text, target
วันๆ นี่คุยกะหมา แมว หมู ไก่ ม้า ควาย มากกว่าคุยกับคนไปละ,0
หล่อมากกก หล่อวัวตายควายล้มกันเลยทีเดียวววว,0
สิวเหี้ยไรขึ้นหลังหู เสียชาติเกิดมั้ย เกิดมามันต้องต้องโดดเด่นเด้งดึ๋งอย่าเช่นขึ้นที่หน้าไรงี้ อีควาย,0
อ่ะ ป่วยก็ป่วย งานจ้างก็ต้องทำ งานเรียนก็ต้องทำ วิชาดีไซน์ตัวร้ายกับควายอย่างกูเอง,0
นี่ก็เพิ่งรู้ว่า เกิดชาตินี้ชาติเดียว เป็นทั้ง เหี้ย เป็นทั้ง ควาย เลย คุ้มแท้ๆ 😆,1
โว้ยอีควาย หนักกว่ากูก็มึงอะ,1
ขอโทษ นะครับ อยากได้ควายให้ไปคบกับคนอื่นนะพอดีกูคนไม่ใช่ควาย ☻,1
ปลั๊กไฟอยู่พื้น เลยลงมานอนบนพื้น อีควาย ไฟจะดูดกูมั้ย เสียบชาร์จไฟก็แลบออกมา อีเหี้ยยย,0
กูมันโง่เองที่ยังเชื่อคำสัญญาบ้าบอของคนคนนึงอยู่......กูนี้มันควายจริงๆ #😏,0
ควายมันอยู่บนดินไง มันบินไม่ได้,0
เมื่อเช้าก็ควาย ตอนนี้ก็หมา ใครทำไรมึง twitter.com/qxzs91/status/…,0
ความคิดต่ำๆอีควาย ไม่ให้เกียรติผู้หญิง สันดาน,1
ควายแดงเมิงด่ารัฐบาลจนรองนายกป่วย พวกมึงกำลังทำลายชาติรู้มั้ย มั้ย มั้ย มั้ยยยยยยยยย news.voicetv.co.th/thailand/51672…,1
เออ มันปากหมา กูรู้ แต่กูรักไง กูรักไปแล้วเว้ย ทำไงได้ว้ะ ไม่เป็นกูไม่รู้หรอก มุมดีๆมันก็เยอะจนกูลืมไม่ลงเหมือนกันแหละ แม่ง !!,0
เมือเราถูกเข้าใจผิด...สิ่งที่ยากที่สุดคือพยายามปรับความเข้าใจกับ..ควาย..ด้วยภาษา...คน#ชมรมครูฝึกยิงปืน,1
ปฏิวัติมาแทบตาย สุดท้ายได้ควายเป็นนายก #กะลาแลนด์,1
คนไทยจะโกรธมากถ้าพูดว่าสีซอให้ควายฟัง ทั้งๆที่ตัวเองไม่รับฟังความเห็นของผู้อื่น ยึดติดในความคิดของตัวเอง ชาติไม่เจริญไม่โทษใคร #คุนต่อยอด,1
บางทีก็สงสัยนะว่าตัวเองเลี้ยงหมาหรือหมูหรือหมีขาวล่าสุดเลี้ยงแกะอ้วน,0
รองเท้าใหม่ก็กัดจริงกัดจัง เป็นหมาหรอสาด,0
พวกมอเตอร์ไซค์ที่จอดติดไฟแดงไม่เป็น ต้องวิ่งฝ่าออกไป พวกนี้คุณภาพชีวิตต่ำกว่าหมาอีกนะ มันพร้อมตายได้ทุกเมื่อ ตายแล้วเสือกเดือดร้อนคนอื่นอีก,1
ก็แค่หมาที่คิดว่าตัวเองเป็นสิงห์,0
คนที่เกลียดหมาแมว ลองทำใจแค่วันเดียว หยิบยื่นให้เขาบ้าง fb.me/2KdrpD9UQ,0
สงสัยปากหมาเกินเยียวยา,1
